,location,BHK,total_sqft,bath,price,encoded_loc
195,Electronic City,3,1200.0,3.0,90.0,74
196,Electronic City,2,910.0,2.0,40.0,74
197,Kothanur,3,1577.0,3.0,70.0,146
198,others,3,4050.0,3.0,280.0,230
199,OMBR Layout,3,2420.0,3.0,185.0,175
200,others,2,1060.0,2.0,55.0,230
201,7th Phase JP Nagar,2,1270.0,2.0,93.0,6
202,others,2,1280.0,2.0,69.0,230
203,Horamavu Agara,4,1200.0,2.0,95.0,98
204,Sarjapur  Road,2,1025.0,2.0,36.0,194
205,Electronic City,2,1108.0,2.0,63.0,74
206,others,3,3045.0,3.0,170.0,230
207,Vijayanagar,3,1500.0,3.0,75.5,220
208,Raja Rajeshwari Nagar,2,1295.0,2.0,43.9,184
209,Budigere,2,1162.0,2.0,59.9,52
210,Sarjapur  Road,2,1035.0,2.0,49.2,194
211,Attibele,4,1600.0,4.0,52.8,21
212,others,3,1464.0,3.0,46.0,230
213,Hennur Road,3,1866.0,2.0,61.58,96
214,others,2,700.0,1.0,26.0,230
215,Kalena Agrahara,3,1804.0,3.0,120.0,121
216,Sarjapur,2,913.0,2.0,32.0,193
217,Talaghattapura,3,1868.0,3.0,131.0,208
218,Kengeri Satellite Town,2,883.0,2.0,45.0,136
219,Kogilu,3,1664.0,2.0,73.95,142
220,Hegde Nagar,3,2026.0,3.0,132.0,94
221,Balagere,2,1210.0,2.0,80.9,25
222,others,4,4111.0,4.0,250.0,230
223,Kadugodi,3,1762.0,3.0,91.45,117
224,Jigani,3,1252.0,3.0,55.0,113
225,Gollarapalya Hosahalli,2,861.0,2.0,34.5,81
226,7th Phase JP Nagar,3,1420.0,2.0,100.0,6
227,Electronics City Phase 1,3,1490.0,3.0,78.8,76
228,Bisuvanahalli,3,1075.0,2.0,46.0,46
229,Old Madras Road,3,1425.0,2.0,94.0,177
230,Kalena Agrahara,2,1200.0,2.0,40.0,121
231,Kaggadasapura,3,1280.0,2.0,56.0,118
232,others,2,1084.0,2.0,50.0,230
233,Kanakpura Road,2,1017.0,2.0,51.25,127
234,Haralur Road,2,1027.0,2.0,44.0,90
235,Electronic City Phase II,2,1069.0,2.0,45.0,75
236,Hebbal,2,1349.0,2.0,98.2,92
237,9th Phase JP Nagar,2,1005.0,2.0,50.0,8
238,Jakkur,2,1417.0,2.0,75.0,110
239,TC Palaya,3,1475.0,3.0,98.0,207
240,others,2,950.0,2.0,47.0,230
241,others,4,2000.0,4.0,120.0,230
242,Sarjapur  Road,4,1863.0,3.0,104.0,194
243,Singasandra,2,1010.0,2.0,29.5,201
244,Kalena Agrahara,3,1425.0,2.0,70.0,121
245,Vijayanagar,3,1450.0,3.0,100.0,220
246,Kothanur,3,1847.0,3.0,105.0,146
247,AECS Layout,2,1100.0,2.0,45.0,9
248,Kanakpura Road,1,525.0,1.0,26.0,127
249,Mallasandra,3,1665.0,3.0,95.0,158
250,Begur,4,1664.0,4.0,65.0,38
251,JP Nagar,3,1850.0,3.0,150.0,109
252,Panathur,2,1438.0,2.0,100.0,180
253,others,3,1560.0,3.0,115.0,230
254,Yelahanka,2,1350.0,2.0,55.55,226
255,Kanakpura Road,3,1550.0,3.0,67.0,127
256,Malleshpalya,2,1140.0,2.0,46.5,159
257,others,2,850.0,2.0,27.0,230
258,Whitefield,2,1280.0,2.0,75.0,224
259,Munnekollal,2,1170.0,2.0,52.0,164
260,others,2,1113.0,2.0,51.0,230
261,Hennur Road,2,1385.0,2.0,83.09,96
262,Electronic City,2,1128.0,2.0,65.0,74
263,Haralur Road,3,1464.0,3.0,56.0,90
264,others,2,1200.0,2.0,55.0,230
265,Kaval Byrasandra,2,1200.0,2.0,52.0,133
266,Kaggalipura,3,1150.0,2.0,55.0,119
267,others,3,1645.0,3.0,95.0,230
268,Sarjapur  Road,2,1000.0,2.0,67.0,194
269,Haralur Road,4,2650.0,4.0,198.0,90
270,6th Phase JP Nagar,2,1192.0,2.0,74.0,5
271,Whitefield,2,1173.0,2.0,58.0,224
272,Uttarahalli,2,1020.0,2.0,45.0,216
273,Thigalarapalya,4,3122.0,6.0,230.0,210
274,Somasundara Palya,3,1600.0,3.0,64.0,202
275,others,2,1200.0,2.0,79.0,230
276,others,2,1230.0,2.0,48.0,230
277,Devarachikkanahalli,2,1250.0,2.0,40.0,66
278,Kalena Agrahara,2,1325.0,2.0,76.0,121
279,7th Phase JP Nagar,3,1850.0,3.0,150.0,6
280,Kanakpura Road,1,525.0,2.0,21.53,127
281,Basaveshwara Nagar,2,1200.0,2.0,65.0,36
282,Bommasandra,3,1260.0,3.0,49.36,48
283,others,3,1800.0,3.0,150.0,230
284,Ardendale,2,1100.0,2.0,43.25,19
285,Harlur,2,1508.0,2.0,77.0,91
286,others,3,1592.0,3.0,75.0,230
287,Akshaya Nagar,2,1388.0,2.0,57.0,11
288,Electronic City Phase II,1,630.0,1.0,28.35,75
289,others,3,1762.0,3.0,125.0,230
290,others,2,950.0,2.0,50.0,230
291,Magadi Road,2,1116.0,2.0,50.0,155
292,others,2,1308.0,2.0,89.04,230
293,others,3,1200.0,3.0,90.0,230
294,Bannerghatta Road,1,500.0,1.0,18.5,34
295,Hennur,2,1075.0,2.0,52.0,95
296,Bellandur,2,1205.0,2.0,66.0,40
297,5th Phase JP Nagar,2,1075.0,2.0,60.0,4
298,KR Puram,2,930.0,2.0,39.0,115
299,Balagere,2,1380.0,2.0,60.0,25
300,Kodigehaali,2,1166.0,2.0,55.0,139
301,Bannerghatta Road,2,1050.0,2.0,65.0,34
302,Begur Road,2,1200.0,2.0,46.8,39
303,Lakshminarayana Pura,3,1600.0,2.0,108.0,153
304,Billekahalli,3,1935.0,3.0,110.0,44
305,8th Phase JP Nagar,1,451.0,1.0,29.9,7
306,Electronic City,3,1800.0,3.0,95.0,74
307,Jalahalli,3,1400.0,3.0,77.0,111
308,Hegde Nagar,3,1801.0,3.0,115.0,94
309,Mahadevpura,2,1451.0,2.0,90.0,156
310,Anekal,2,1200.0,1.0,36.0,17
311,Begur Road,2,1160.0,2.0,44.0,39
312,Kanakpura Road,2,950.0,2.0,40.0,127
313,others,3,1629.0,3.0,79.0,230
314,Vijayanagar,3,1826.0,3.0,121.0,220
315,7th Phase JP Nagar,2,1245.0,2.0,94.0,6
316,Raja Rajeshwari Nagar,2,1145.0,2.0,45.79,184
317,Sompura,2,825.0,2.0,33.0,203
318,Yeshwanthpur,3,1693.0,3.0,108.0,229
319,Electronics City Phase 1,2,1113.27,2.0,53.0,76
320,others,2,1460.0,2.0,58.0,230
321,Doddathoguru,2,1050.0,2.0,32.0,70
322,Dodda Nekkundi,2,1260.0,2.0,55.0,67
323,Hosur Road,2,1656.0,2.0,120.0,104
324,Chandapura,3,1208.0,3.0,45.0,55
325,Whitefield,4,3252.0,4.0,230.0,224
326,Battarahalli,2,1200.0,2.0,65.0,37
327,7th Phase JP Nagar,2,1175.0,2.0,82.0,6
328,others,2,1185.0,2.0,38.0,230
329,Kengeri,2,750.0,2.0,38.0,135
330,Kanakpura Road,3,1550.0,3.0,64.5,127
331,others,3,1760.0,3.0,88.0,230
332,Billekahalli,2,1125.0,2.0,62.0,44
333,Anandapura,2,1000.0,2.0,55.0,15
334,Bommasandra Industrial Area,2,1090.0,2.0,31.48,49
335,TC Palaya,2,1200.0,2.0,60.0,207
336,Budigere,3,1991.0,4.0,103.0,52
337,Ambalipura,2,1105.0,2.0,75.0,12
338,Hoodi,2,985.0,2.0,67.0,97
339,Balagere,3,1590.0,3.0,79.0,25
340,CV Raman Nagar,2,1120.0,2.0,55.0,53
341,others,2,1069.0,2.0,55.0,230
342,Marathahalli,3,1933.0,3.0,140.0,161
343,Hosur Road,2,1194.0,2.0,69.0,104
344,Brookefield,2,1150.0,2.0,69.0,51
345,Yelenahalli,2,1240.0,2.0,47.12,228
346,Raja Rajeshwari Nagar,2,1419.0,2.0,48.1,184
347,others,3,1450.0,3.0,55.0,230
348,others,3,1630.0,3.0,68.29,230
349,Dasanapura,2,708.0,1.0,40.0,63
350,Whitefield,4,11890.0,4.0,700.0,224
351,Bellandur,2,1250.0,2.0,76.0,40
352,7th Phase JP Nagar,3,1400.0,2.0,95.0,6
353,Sarjapur  Road,3,1670.0,2.0,57.0,194
354,Ardendale,3,1750.0,3.0,100.0,19
355,Vittasandra,2,1404.0,2.0,71.0,223
356,Hoodi,3,1715.0,2.0,95.0,97
357,Electronic City,1,630.0,1.0,34.65,74
358,Harlur,3,1752.12,3.0,135.0,91
359,Hulimavu,3,1650.0,3.0,78.0,105
360,Raja Rajeshwari Nagar,2,1295.0,2.0,55.47,184
361,Sarjapur  Road,2,1346.0,2.0,74.03,194
362,Hormavu,2,1150.0,2.0,55.0,100
363,AECS Layout,3,1620.0,3.0,98.0,9
364,Marathahalli,2,950.0,2.0,46.96,161
365,Harlur,3,2450.0,3.0,120.0,91
366,Electronic City Phase II,3,1220.0,2.0,35.23,75
367,others,2,850.0,2.0,30.0,230
368,Padmanabhanagar,2,1020.0,2.0,63.0,178
369,Chikkalasandra,2,1100.0,2.0,50.0,59
370,Hebbal,3,1760.0,2.0,130.0,92
371,Ambalipura,3,1800.0,3.0,110.0,12
372,Akshaya Nagar,2,1070.0,2.0,54.0,11
373,Vidyaranyapura,2,1440.0,2.0,95.0,219
374,Amruthahalli,2,900.0,2.0,40.0,14
375,Whitefield,2,1130.0,2.0,42.16,224
376,Kodigehalli,2,1270.0,2.0,98.0,140
377,others,2,1200.0,2.0,62.0,230
378,others,4,4800.0,4.0,235.0,230
379,others,2,1200.0,2.0,74.0,230
380,Subramanyapura,2,929.0,2.0,50.17,205
381,others,3,1464.0,3.0,56.0,230
382,others,4,2000.0,4.0,99.0,230
383,Chikkalasandra,2,1208.0,2.0,49.0,59
384,Hebbal Kempapura,2,1130.0,2.0,60.0,93
385,others,3,1753.0,3.0,120.0,230
386,Old Madras Road,5,4500.0,7.0,337.0,177
387,Hoodi,2,1196.0,2.0,94.42,97
388,5th Phase JP Nagar,2,1150.0,3.0,52.5,4
389,Electronic City,2,1128.0,2.0,63.0,74
390,others,2,1000.0,2.0,53.0,230
391,Yelahanka,2,1035.0,2.0,45.0,226
392,Kereguddadahalli,2,950.0,2.0,32.0,137
393,Bisuvanahalli,3,1075.0,2.0,36.0,46
394,Whitefield,2,1040.0,2.0,48.5,224
395,others,2,720.0,2.0,45.0,230
396,Lingadheeranahalli,3,1511.0,3.0,95.0,154
397,others,3,1300.0,3.0,58.0,230
398,Hoodi,3,1545.0,3.0,68.75,97
399,Shampura,1,375.0,2.0,26.0,199
400,Vidyaranyapura,2,1062.0,2.0,38.0,219
401,others,2,1115.0,2.0,40.0,230
402,JP Nagar,2,1000.0,2.0,35.0,109
403,Kambipura,2,883.0,2.0,45.0,123
404,Sarjapur  Road,2,1195.0,2.0,70.0,194
405,others,1,700.0,1.0,41.0,230
406,Vittasandra,2,1246.0,2.0,67.0,223
407,others,4,1600.0,4.0,80.0,230
408,Haralur Road,4,2805.0,5.0,154.0,90
409,Begur Road,3,1584.0,3.0,65.0,39
410,Hosur Road,3,1175.0,2.0,48.0,104
411,others,3,1595.0,3.0,115.0,230
412,others,2,1353.0,2.0,110.0,230
413,Electronic City,3,1599.0,3.0,125.0,74
414,Whitefield,2,1150.0,2.0,70.0,224
415,KR Puram,2,1155.0,2.0,42.74,115
416,others,1,1200.0,2.0,85.0,230
417,Thanisandra,4,3000.0,4.0,120.0,209
418,Ramagondanahalli,2,1251.0,2.0,47.0,187
419,others,2,1028.0,2.0,45.5,230
420,Arekere,2,1222.0,2.0,45.0,20
421,Bannerghatta Road,3,1170.0,2.0,66.0,34
422,others,3,1385.0,2.0,48.48,230
423,HSR Layout,2,1372.0,2.0,68.0,89
424,Magadi Road,3,1282.0,2.0,49.0,155
425,Kanakpura Road,2,1135.0,2.0,39.73,127
426,Whitefield,3,1768.0,3.0,101.0,224
427,others,3,1325.0,2.0,90.0,230
428,Electronic City,3,1599.0,3.0,99.0,74
429,Whitefield,3,1500.0,3.0,61.95,224
430,Uttarahalli,2,1286.0,2.0,63.0,216
431,Kammanahalli,5,2845.0,5.0,140.0,124
432,others,3,1600.0,2.0,50.0,230
433,Hennur Road,2,1317.5,2.0,63.77,96
434,Hebbal,3,3450.0,5.0,260.0,92
435,Munnekollal,2,1102.0,2.0,53.67,164
436,Yelahanka,2,1350.0,2.0,54.0,226
437,Banashankari,3,1200.0,2.0,42.0,26
438,others,2,1800.0,1.0,80.0,230
439,Chikkabanavar,2,950.0,2.0,40.0,58
440,Kanakpura Road,1,525.0,1.0,27.25,127
441,Attibele,2,656.0,2.0,25.0,21
442,others,2,1056.0,2.0,80.0,230
443,Bannerghatta Road,1,595.0,1.0,33.32,34
444,others,2,1080.0,2.0,50.0,230
445,7th Phase JP Nagar,3,2225.0,3.0,160.0,6
446,Electronics City Phase 1,3,1490.0,3.0,84.0,76
447,Sarjapur  Road,3,1550.0,3.0,100.0,194
448,Sarjapur  Road,3,1600.0,3.0,86.0,194
449,others,2,1160.0,2.0,55.0,230
450,Whitefield,4,4144.0,4.0,315.0,224
451,Sarjapur  Road,3,2100.0,3.0,125.0,194
452,Vittasandra,2,1404.0,2.0,69.3,223
453,others,3,1544.0,3.0,120.0,230
454,Banashankari Stage III,3,1305.0,2.0,58.7,28
455,Marathahalli,2,1230.0,2.0,80.0,161
456,others,2,1200.0,2.0,65.0,230
457,Harlur,3,1460.0,3.0,73.0,91
458,Gottigere,2,967.0,2.0,45.0,82
459,others,1,540.0,1.0,36.0,230
460,Hormavu,1,715.0,1.0,46.0,100
461,Mysore Road,2,1020.0,2.0,48.95,166
462,Jigani,2,1020.0,2.0,40.0,113
463,Koramangala,2,1253.0,2.0,102.0,144
464,others,2,1180.0,2.0,42.0,230
465,Nehru Nagar,2,961.0,2.0,38.0,174
466,Kanakapura,3,1419.0,3.0,75.0,126
467,others,2,1600.0,2.0,115.0,230
468,others,1,416.0,1.0,18.5,230
469,HSR Layout,3,1430.0,2.0,65.0,89
470,others,2,1260.0,2.0,45.0,230
471,others,3,1630.0,3.0,85.0,230
472,Sarjapur  Road,3,1249.0,3.0,44.71,194
473,Kalena Agrahara,3,1450.0,2.0,85.0,121
474,Konanakunte,3,2791.0,3.0,223.0,143
475,others,1,834.0,1.0,60.0,230
476,others,3,1125.0,4.0,70.0,230
477,Arekere,3,2060.0,3.0,140.0,20
478,Raja Rajeshwari Nagar,2,1133.0,2.0,49.07,184
479,Bisuvanahalli,3,1075.0,2.0,37.0,46
480,Vidyaranyapura,2,1200.0,2.0,55.0,219
481,Thanisandra,2,1075.0,2.0,45.8,209
482,Kaggadasapura,2,1140.0,2.0,40.0,118
483,Raja Rajeshwari Nagar,2,1090.0,2.0,42.0,184
484,R.T. Nagar,4,1500.0,4.0,70.0,182
485,Whitefield,3,1790.0,3.0,100.0,224
486,Hebbal,3,1920.0,3.0,134.0,92
487,HRBR Layout,2,1374.0,2.0,95.0,88
488,Bannerghatta Road,3,1445.0,3.0,95.0,34
489,Kanakapura,1,711.0,1.0,36.0,126
490,Tumkur Road,3,1500.0,3.0,95.0,214
491,Whitefield,3,1720.0,3.0,100.0,224
492,others,3,1400.0,3.0,60.0,230
493,Kundalahalli,2,1030.0,2.0,49.0,150
494,Mysore Road,2,1200.0,2.0,85.0,166
495,others,3,1375.0,3.0,70.0,230
496,Hegde Nagar,2,1050.0,1.0,56.0,94
497,Jalahalli,3,2250.0,3.0,160.0,111
498,Bellandur,2,1000.0,2.0,50.0,40
499,others,1,469.0,1.0,25.0,230
500,Marathahalli,4,3800.0,4.0,250.0,161
501,Kambipura,2,883.0,2.0,29.0,123
502,GM Palaya,3,1820.0,2.0,86.0,78
503,Singasandra,3,1440.0,2.0,65.0,201
504,others,6,3600.0,4.0,160.0,230
505,Mahadevpura,2,1225.0,2.0,48.0,156
506,Chikkalasandra,2,875.0,2.0,52.8,59
507,Jalahalli East,1,750.0,1.0,40.0,112
508,6th Phase JP Nagar,2,1180.0,2.0,80.0,5
509,Haralur Road,2,1194.0,2.0,47.0,90
510,Hennur Road,3,1500.0,2.0,62.0,96
511,others,2,1160.0,2.0,52.2,230
512,Sarjapur,2,1128.0,2.0,60.0,193
513,others,3,1220.0,2.0,35.23,230
514,Sarjapur  Road,2,1210.0,2.0,58.0,194
515,Kanakpura Road,3,1100.0,2.0,58.0,127
516,Bommasandra,3,1200.0,3.0,46.0,48
517,Haralur Road,4,3385.0,5.0,260.0,90
518,others,3,1641.0,3.0,66.0,230
519,Horamavu Agara,2,1200.0,2.0,45.0,98
520,Raja Rajeshwari Nagar,2,1260.0,2.0,67.39,184
521,Mahadevpura,3,1720.0,3.0,78.0,156
522,Yelahanka,2,1132.5,2.0,48.13,226
523,Yelahanka,2,1210.0,2.0,45.98,226
524,Bisuvanahalli,3,1075.0,2.0,45.0,46
525,Thanisandra,3,1702.0,3.0,130.0,209
526,Raja Rajeshwari Nagar,2,1141.0,2.0,38.55,184
527,others,3,2072.0,3.0,108.0,230
528,JP Nagar,5,5520.0,2.0,375.0,109
529,others,3,1200.0,2.0,70.0,230
530,others,3,1350.0,3.0,77.0,230
531,others,3,1180.0,2.0,78.34,230
532,others,1,600.0,1.0,50.0,230
533,Bannerghatta Road,3,1640.0,2.0,120.0,34
534,Kodichikkanahalli,3,1190.0,2.0,57.0,138
535,Marathahalli,2,1019.0,2.0,49.85,161
536,Akshaya Nagar,3,1250.0,3.0,40.0,11
537,Whitefield,2,1140.0,2.0,56.0,224
538,Lingadheeranahalli,3,1683.0,3.0,109.0,154
539,Kaggadasapura,3,1515.0,3.0,83.3,118
540,Hoodi,4,2118.0,4.0,111.0,97
541,Bannerghatta Road,4,1380.0,3.0,58.0,34
542,Varthur Road,2,1083.0,2.0,61.75,218
543,others,3,2300.0,3.0,120.0,230
544,others,2,1240.0,2.0,60.0,230
545,others,3,1750.0,3.0,120.0,230
